usage_id,employee_id,tool_name,usage_date,minutes_used,tasks_completed
35,359,Copilot,2024-01-02 10:00:00,198,9
36,273,Copilot,2024-01-02 11:00:00,137,11
37,554,AWS CodeWhisperer,2024-01-02 12:00:00,174,8
38,651,GitHub Copilot,2024-01-02 13:00:00,179,5
39,73,Tableau AI,2024-01-02 14:00:00,85,2
40,813,GitHub Copilot,2024-01-02 15:00:00,115,3
41,499,ChatGPT,2024-01-02 16:00:00,139,7
42,36,AWS CodeWhisperer,2024-01-02 17:00:00,49,13
43,631,Copilot,2024-01-02 18:00:00,140,3
44,881,AWS CodeWhisperer,2024-01-02 19:00:00,74,18
45,945,AWS CodeWhisperer,2024-01-02 20:00:00,25,6
46,750,GitHub Copilot,2024-01-02 21:00:00,132,15
47,692,GitHub Copilot,2024-01-02 22:00:00,117,16
48,740,GitHub Copilot,2024-01-02 23:00:00,143,8
49,822,GitHub Copilot,2024-01-03 00:00:00,135,12
50,494,Copilot,2024-01-03 01:00:00,156,13
51,379,ChatGPT,2024-01-03 02:00:00,208,9
52,503,ChatGPT,2024-01-03 03:00:00,10,14
53,126,Tableau AI,2024-01-03 04:00:00,148,14
54,407,Copilot,2024-01-03 05:00:00,138,19
55,676,GitHub Copilot,2024-01-03 06:00:00,27,19
56,697,Tableau AI,2024-01-03 07:00:00,208,16
57,663,Tableau AI,2024-01-03 08:00:00,102,1
58,459,Tableau AI,2024-01-03 09:00:00,153,11
59,342,ChatGPT,2024-01-03 10:00:00,80,2
60,722,AWS CodeWhisperer,2024-01-03 11:00:00,87,4
61,647,Tableau AI,2024-01-03 12:00:00,94,3
62,813,Tableau AI,2024-01-03 13:00:00,219,12
63,45,AWS CodeWhisperer,2024-01-03 14:00:00,41,10
64,562,Copilot,2024-01-03 15:00:00,82,19
65,940,AWS CodeWhisperer,2024-01-03 16:00:00,120,7
66,480,GitHub Copilot,2024-01-03 17:00:00,92,4
67,396,Copilot,2024-01-03 18:00:00,128,3
68,236,GitHub Copilot,2024-01-03 19:00:00,33,3
69,534,Copilot,2024-01-03 20:00:00,123,12
70,859,AWS CodeWhisperer,2024-01-03 21:00:00,29,12
71,111,Copilot,2024-01-03 22:00:00,136,10
72,494,Copilot,2024-01-03 23:00:00,71,8
73,474,ChatGPT,2024-01-04 00:00:00,121,8
74,333,AWS CodeWhisperer,2024-01-04 01:00:00,182,4
75,575,ChatGPT,2024-01-04 02:00:00,74,11
76,754,AWS CodeWhisperer,2024-01-04 03:00:00,16,15
77,789,ChatGPT,2024-01-04 04:00:00,16,5
78,118,ChatGPT,2024-01-04 05:00:00,95,2
79,254,Tableau AI,2024-01-04 06:00:00,231,1
80,963,AWS CodeWhisperer,2024-01-04 07:00:00,216,4
81,307,GitHub Copilot,2024-01-04 08:00:00,78,8
82,69,GitHub Copilot,2024-01-04 09:00:00,19,2
83,80,ChatGPT,2024-01-04 10:00:00,222,15
84,582,ChatGPT,2024-01-04 11:00:00,85,18
85,901,Tableau AI,2024-01-04 12:00:00,96,12
86,564,ChatGPT,2024-01-04 13:00:00,212,13
87,726,Copilot,2024-01-04 14:00:00,165,16
88,672,ChatGPT,2024-01-04 15:00:00,41,7
89,955,Tableau AI,2024-01-04 16:00:00,200,6
90,610,GitHub Copilot,2024-01-04 17:00:00,103,2
91,907,Tableau AI,2024-01-04 18:00:00,66,15
92,604,AWS CodeWhisperer,2024-01-04 19:00:00,106,8
93,765,GitHub Copilot,2024-01-04 20:00:00,143,15
94,282,Copilot,2024-01-04 21:00:00,230,17
95,261,GitHub Copilot,2024-01-04 22:00:00,167,1
96,512,AWS CodeWhisperer,2024-01-04 23:00:00,218,18
97,396,GitHub Copilot,2024-01-05 00:00:00,159,18
98,492,ChatGPT,2024-01-05 01:00:00,147,1
99,991,GitHub Copilot,2024-01-05 02:00:00,211,9
100,925,Copilot,2024-01-05 03:00:00,19,5
101,774,Tableau AI,2024-01-05 04:00:00,131,15
102,122,GitHub Copilot,2024-01-05 05:00:00,115,17
103,249,AWS CodeWhisperer,2024-01-05 06:00:00,134,5
104,880,Copilot,2024-01-05 07:00:00,123,2
105,72,Copilot,2024-01-05 08:00:00,99,17
106,383,AWS CodeWhisperer,2024-01-05 09:00:00,234,4
107,703,AWS CodeWhisperer,2024-01-05 10:00:00,56,1
108,442,GitHub Copilot,2024-01-05 11:00:00,70,10
109,959,Copilot,2024-01-05 12:00:00,208,14
110,472,Copilot,2024-01-05 13:00:00,192,16
111,653,Tableau AI,2024-01-05 14:00:00,208,13
112,810,GitHub Copilot,2024-01-05 15:00:00,204,12
113,812,Tableau AI,2024-01-05 16:00:00,192,18
114,816,Tableau AI,2024-01-05 17:00:00,35,8
115,410,Copilot,2024-01-05 18:00:00,118,4
116,784,AWS CodeWhisperer,2024-01-05 19:00:00,94,5
117,853,AWS CodeWhisperer,2024-01-05 20:00:00,207,11
118,886,GitHub Copilot,2024-01-05 21:00:00,179,9
119,146,Copilot,2024-01-05 22:00:00,231,15
120,283,ChatGPT,2024-01-05 23:00:00,239,6
121,545,AWS CodeWhisperer,2024-01-06 00:00:00,128,14
122,911,GitHub Copilot,2024-01-06 01:00:00,33,12
123,367,Copilot,2024-01-06 02:00:00,222,16
124,333,Copilot,2024-01-06 03:00:00,39,7
125,841,ChatGPT,2024-01-06 04:00:00,106,9
126,804,GitHub Copilot,2024-01-06 05:00:00,23,18
127,137,Tableau AI,2024-01-06 06:00:00,227,16
128,317,Tableau AI,2024-01-06 07:00:00,81,13
129,720,ChatGPT,2024-01-06 08:00:00,71,1
130,924,ChatGPT,2024-01-06 09:00:00,132,13
131,639,Copilot,2024-01-06 10:00:00,235,17
132,272,GitHub Copilot,2024-01-06 11:00:00,41,15
133,671,GitHub Copilot,2024-01-06 12:00:00,214,11
134,849,Tableau AI,2024-01-06 13:00:00,112,15
135,438,AWS CodeWhisperer,2024-01-06 14:00:00,219,16
136,744,ChatGPT,2024-01-06 15:00:00,170,19
137,365,AWS CodeWhisperer,2024-01-06 16:00:00,57,15
138,779,Tableau AI,2024-01-06 17:00:00,14,15
139,377,Copilot,2024-01-06 18:00:00,41,1
140,251,AWS CodeWhisperer,2024-01-06 19:00:00,108,10
141,226,AWS CodeWhisperer,2024-01-06 20:00:00,87,3
142,357,Copilot,2024-01-06 21:00:00,138,7
143,382,GitHub Copilot,2024-01-06 22:00:00,69,11
144,968,GitHub Copilot,2024-01-06 23:00:00,199,5
145,468,Copilot,2024-01-07 00:00:00,22,14
146,678,GitHub Copilot,2024-01-07 01:00:00,17,16
147,173,AWS CodeWhisperer,2024-01-07 02:00:00,79,19
148,749,Tableau AI,2024-01-07 03:00:00,196,19
149,90,ChatGPT,2024-01-07 04:00:00,230,11
150,620,Tableau AI,2024-01-07 05:00:00,211,16
151,783,GitHub Copilot,2024-01-07 06:00:00,213,13
152,699,Copilot,2024-01-07 07:00:00,80,12
153,917,Copilot,2024-01-07 08:00:00,102,4
154,363,AWS CodeWhisperer,2024-01-07 09:00:00,102,16
155,739,AWS CodeWhisperer,2024-01-07 10:00:00,239,2
156,590,Tableau AI,2024-01-07 11:00:00,192,7
157,504,Copilot,2024-01-07 12:00:00,108,3
158,588,ChatGPT,2024-01-07 13:00:00,239,3
159,283,GitHub Copilot,2024-01-07 14:00:00,176,8
160,704,GitHub Copilot,2024-01-07 15:00:00,231,19
161,667,Tableau AI,2024-01-07 16:00:00,51,4
162,122,GitHub Copilot,2024-01-07 17:00:00,144,18
163,153,Copilot,2024-01-07 18:00:00,178,14
164,831,Tableau AI,2024-01-07 19:00:00,237,6
165,222,Tableau AI,2024-01-07 20:00:00,219,8
166,366,ChatGPT,2024-01-07 21:00:00,226,11
167,709,Tableau AI,2024-01-07 22:00:00,114,13
168,680,ChatGPT,2024-01-07 23:00:00,120,14
169,446,ChatGPT,2024-01-08 00:00:00,185,5
170,477,ChatGPT,2024-01-08 01:00:00,52,3
171,106,Tableau AI,2024-01-08 02:00:00,104,4
172,172,GitHub Copilot,2024-01-08 03:00:00,224,12
173,830,ChatGPT,2024-01-08 04:00:00,194,2
174,842,Tableau AI,2024-01-08 05:00:00,68,15
175,855,ChatGPT,2024-01-08 06:00:00,122,19
176,449,Tableau AI,2024-01-08 07:00:00,172,13
177,539,AWS CodeWhisperer,2024-01-08 08:00:00,197,12
178,241,ChatGPT,2024-01-08 09:00:00,221,18
179,897,ChatGPT,2024-01-08 10:00:00,73,4
180,844,AWS CodeWhisperer,2024-01-08 11:00:00,57,9
181,140,Copilot,2024-01-08 12:00:00,46,16
182,921,GitHub Copilot,2024-01-08 13:00:00,77,13
183,910,Copilot,2024-01-08 14:00:00,128,2
184,14,ChatGPT,2024-01-08 15:00:00,113,7
185,439,AWS CodeWhisperer,2024-01-08 16:00:00,15,2
186,614,GitHub Copilot,2024-01-08 17:00:00,136,11
187,691,AWS CodeWhisperer,2024-01-08 18:00:00,234,19
188,626,Copilot,2024-01-08 19:00:00,85,4
189,551,Tableau AI,2024-01-08 20:00:00,149,14
190,23,ChatGPT,2024-01-08 21:00:00,122,16
191,687,AWS CodeWhisperer,2024-01-08 22:00:00,83,6
192,254,ChatGPT,2024-01-08 23:00:00,87,6
193,580,AWS CodeWhisperer,2024-01-09 00:00:00,120,17
194,656,ChatGPT,2024-01-09 01:00:00,12,11
195,364,GitHub Copilot,2024-01-09 02:00:00,28,14
196,286,AWS CodeWhisperer,2024-01-09 03:00:00,29,2
197,553,AWS CodeWhisperer,2024-01-09 04:00:00,131,4
198,487,ChatGPT,2024-01-09 05:00:00,209,2
199,534,Copilot,2024-01-09 06:00:00,168,16
200,569,ChatGPT,2024-01-09 07:00:00,161,10
201,401,GitHub Copilot,2024-01-09 08:00:00,70,2
202,760,ChatGPT,2024-01-09 09:00:00,189,8
203,103,ChatGPT,2024-01-09 10:00:00,214,8
204,832,Copilot,2024-01-09 11:00:00,215,17
205,431,AWS CodeWhisperer,2024-01-09 12:00:00,112,11
206,592,Tableau AI,2024-01-09 13:00:00,174,2
207,140,GitHub Copilot,2024-01-09 14:00:00,179,15
208,342,Copilot,2024-01-09 15:00:00,227,11
209,984,Tableau AI,2024-01-09 16:00:00,24,14
210,275,GitHub Copilot,2024-01-09 17:00:00,18,11
211,67,Copilot,2024-01-09 18:00:00,158,3
212,610,GitHub Copilot,2024-01-09 19:00:00,97,18
213,11,Tableau AI,2024-01-09 20:00:00,146,8
214,858,GitHub Copilot,2024-01-09 21:00:00,101,15
215,67,AWS CodeWhisperer,2024-01-09 22:00:00,11,11
216,613,Copilot,2024-01-09 23:00:00,176,19
217,465,GitHub Copilot,2024-01-10 00:00:00,183,10
218,445,ChatGPT,2024-01-10 01:00:00,109,10
219,515,AWS CodeWhisperer,2024-01-10 02:00:00,41,10
220,7,GitHub Copilot,2024-01-10 03:00:00,230,9
221,660,AWS CodeWhisperer,2024-01-10 04:00:00,66,13
222,974,AWS CodeWhisperer,2024-01-10 05:00:00,13,17
223,466,ChatGPT,2024-01-10 06:00:00,194,7
224,167,Copilot,2024-01-10 07:00:00,235,12
225,945,Copilot,2024-01-10 08:00:00,163,2
226,914,AWS CodeWhisperer,2024-01-10 09:00:00,46,14
227,380,Tableau AI,2024-01-10 10:00:00,35,8
228,705,AWS CodeWhisperer,2024-01-10 11:00:00,237,18
229,511,GitHub Copilot,2024-01-10 12:00:00,143,15
230,859,Tableau AI,2024-01-10 13:00:00,174,9
231,860,Tableau AI,2024-01-10 14:00:00,78,5
232,840,AWS CodeWhisperer,2024-01-10 15:00:00,163,9
233,127,Tableau AI,2024-01-10 16:00:00,182,17
234,545,Copilot,2024-01-10 17:00:00,114,14
235,334,Copilot,2024-01-10 18:00:00,221,10
236,10,Copilot,2024-01-10 19:00:00,140,8
237,845,AWS CodeWhisperer,2024-01-10 20:00:00,65,1
238,374,Copilot,2024-01-10 21:00:00,100,3
239,911,AWS CodeWhisperer,2024-01-10 22:00:00,127,12
240,266,AWS CodeWhisperer,2024-01-10 23:00:00,158,16
241,208,ChatGPT,2024-01-11 00:00:00,18,12
242,96,Copilot,2024-01-11 01:00:00,40,4
243,332,Copilot,2024-01-11 02:00:00,15,17
244,50,Copilot,2024-01-11 03:00:00,180,12
245,931,Tableau AI,2024-01-11 04:00:00,145,17
246,640,Tableau AI,2024-01-11 05:00:00,107,8
247,134,GitHub Copilot,2024-01-11 06:00:00,210,16
248,160,Copilot,2024-01-11 07:00:00,199,6
249,940,AWS CodeWhisperer,2024-01-11 08:00:00,28,17
250,709,Tableau AI,2024-01-11 09:00:00,120,17
251,597,ChatGPT,2024-01-11 10:00:00,14,4
252,49,GitHub Copilot,2024-01-11 11:00:00,57,15
253,410,Copilot,2024-01-11 12:00:00,57,3
254,70,Copilot,2024-01-11 13:00:00,138,17
255,14,AWS CodeWhisperer,2024-01-11 14:00:00,119,12
256,965,AWS CodeWhisperer,2024-01-11 15:00:00,59,13
257,984,ChatGPT,2024-01-11 16:00:00,115,19
258,768,Copilot,2024-01-11 17:00:00,114,13
259,865,Tableau AI,2024-01-11 18:00:00,66,19
260,647,GitHub Copilot,2024-01-11 19:00:00,122,1
261,724,ChatGPT,2024-01-11 20:00:00,236,17
262,10,Copilot,2024-01-11 21:00:00,63,7
263,134,AWS CodeWhisperer,2024-01-11 22:00:00,79,15
264,542,Copilot,2024-01-11 23:00:00,200,7
265,360,ChatGPT,2024-01-12 00:00:00,109,16
266,478,Tableau AI,2024-01-12 01:00:00,31,19
267,876,ChatGPT,2024-01-12 02:00:00,198,11
268,58,AWS CodeWhisperer,2024-01-12 03:00:00,53,9
269,477,Copilot,2024-01-12 04:00:00,228,11
270,206,GitHub Copilot,2024-01-12 05:00:00,238,19
271,135,AWS CodeWhisperer,2024-01-12 06:00:00,55,5
272,842,Copilot,2024-01-12 07:00:00,49,9
273,621,AWS CodeWhisperer,2024-01-12 08:00:00,175,12
274,170,GitHub Copilot,2024-01-12 09:00:00,207,15
275,365,AWS CodeWhisperer,2024-01-12 10:00:00,137,1
276,589,Copilot,2024-01-12 11:00:00,212,7
277,350,ChatGPT,2024-01-12 12:00:00,77,2
278,12,GitHub Copilot,2024-01-12 13:00:00,128,6
279,947,AWS CodeWhisperer,2024-01-12 14:00:00,16,14
280,585,AWS CodeWhisperer,2024-01-12 15:00:00,170,6
281,981,GitHub Copilot,2024-01-12 16:00:00,142,8
282,83,GitHub Copilot,2024-01-12 17:00:00,103,4
283,239,GitHub Copilot,2024-01-12 18:00:00,11,8
284,182,GitHub Copilot,2024-01-12 19:00:00,129,19
285,496,AWS CodeWhisperer,2024-01-12 20:00:00,94,16
286,864,ChatGPT,2024-01-12 21:00:00,82,8
287,373,GitHub Copilot,2024-01-12 22:00:00,11,16
288,524,AWS CodeWhisperer,2024-01-12 23:00:00,172,4
289,318,GitHub Copilot,2024-01-13 00:00:00,198,12
290,825,AWS CodeWhisperer,2024-01-13 01:00:00,153,9
291,159,GitHub Copilot,2024-01-13 02:00:00,12,4
292,409,ChatGPT,2024-01-13 03:00:00,194,15
293,793,GitHub Copilot,2024-01-13 04:00:00,208,4
294,741,ChatGPT,2024-01-13 05:00:00,64,18
295,650,AWS CodeWhisperer,2024-01-13 06:00:00,130,8
296,641,Copilot,2024-01-13 07:00:00,110,6
297,371,Copilot,2024-01-13 08:00:00,119,16
298,892,ChatGPT,2024-01-13 09:00:00,100,3
299,962,Tableau AI,2024-01-13 10:00:00,153,6
300,225,Tableau AI,2024-01-13 11:00:00,225,3
301,756,ChatGPT,2024-01-13 12:00:00,188,15
302,723,GitHub Copilot,2024-01-13 13:00:00,200,9
303,544,ChatGPT,2024-01-13 14:00:00,49,15
304,783,ChatGPT,2024-01-13 15:00:00,212,9
305,227,AWS CodeWhisperer,2024-01-13 16:00:00,31,12
306,68,Tableau AI,2024-01-13 17:00:00,145,9
307,648,ChatGPT,2024-01-13 18:00:00,100,6
308,951,Tableau AI,2024-01-13 19:00:00,135,10
309,926,GitHub Copilot,2024-01-13 20:00:00,63,18
310,445,Tableau AI,2024-01-13 21:00:00,167,8
311,974,ChatGPT,2024-01-13 22:00:00,204,4
312,340,ChatGPT,2024-01-13 23:00:00,151,18
313,430,Copilot,2024-01-14 00:00:00,45,16
314,839,AWS CodeWhisperer,2024-01-14 01:00:00,129,7
315,624,Copilot,2024-01-14 02:00:00,81,17
316,5,GitHub Copilot,2024-01-14 03:00:00,50,3
317,400,Tableau AI,2024-01-14 04:00:00,211,18
318,166,GitHub Copilot,2024-01-14 05:00:00,101,12
319,591,Tableau AI,2024-01-14 06:00:00,218,17
320,80,ChatGPT,2024-01-14 07:00:00,133,6
321,884,ChatGPT,2024-01-14 08:00:00,18,13
322,956,Tableau AI,2024-01-14 09:00:00,178,17
323,320,Tableau AI,2024-01-14 10:00:00,50,7
324,238,Tableau AI,2024-01-14 11:00:00,237,5
325,738,Copilot,2024-01-14 12:00:00,152,18
326,143,GitHub Copilot,2024-01-14 13:00:00,234,16
327,75,GitHub Copilot,2024-01-14 14:00:00,185,1
328,546,Copilot,2024-01-14 15:00:00,229,16
329,489,ChatGPT,2024-01-14 16:00:00,51,10
330,515,AWS CodeWhisperer,2024-01-14 17:00:00,162,10
331,345,Tableau AI,2024-01-14 18:00:00,123,12
332,710,Tableau AI,2024-01-14 19:00:00,185,11
333,103,Tableau AI,2024-01-14 20:00:00,95,16
334,160,Copilot,2024-01-14 21:00:00,190,7
335,789,GitHub Copilot,2024-01-14 22:00:00,11,7
336,426,Tableau AI,2024-01-14 23:00:00,141,8
337,523,Tableau AI,2024-01-15 00:00:00,22,19
338,810,Tableau AI,2024-01-15 01:00:00,132,3
339,775,Copilot,2024-01-15 02:00:00,160,4
340,37,AWS CodeWhisperer,2024-01-15 03:00:00,145,2
341,251,ChatGPT,2024-01-15 04:00:00,137,12
342,156,AWS CodeWhisperer,2024-01-15 05:00:00,44,4
343,576,GitHub Copilot,2024-01-15 06:00:00,153,7
344,50,AWS CodeWhisperer,2024-01-15 07:00:00,172,13
345,389,Copilot,2024-01-15 08:00:00,26,7
346,347,Tableau AI,2024-01-15 09:00:00,79,10
347,891,AWS CodeWhisperer,2024-01-15 10:00:00,65,10
348,711,Copilot,2024-01-15 11:00:00,26,5
349,195,ChatGPT,2024-01-15 12:00:00,17,18
350,989,Copilot,2024-01-15 13:00:00,237,8
351,634,ChatGPT,2024-01-15 14:00:00,39,17
352,943,GitHub Copilot,2024-01-15 15:00:00,219,8
353,951,Tableau AI,2024-01-15 16:00:00,30,8
354,359,AWS CodeWhisperer,2024-01-15 17:00:00,212,3
355,816,ChatGPT,2024-01-15 18:00:00,122,1
356,775,Copilot,2024-01-15 19:00:00,69,5
357,486,AWS CodeWhisperer,2024-01-15 20:00:00,134,8
358,951,ChatGPT,2024-01-15 21:00:00,112,1
359,575,Copilot,2024-01-15 22:00:00,128,17
360,337,ChatGPT,2024-01-15 23:00:00,230,6
361,507,GitHub Copilot,2024-01-16 00:00:00,147,3
362,490,Tableau AI,2024-01-16 01:00:00,123,7
363,924,Copilot,2024-01-16 02:00:00,46,10
364,767,GitHub Copilot,2024-01-16 03:00:00,71,12
365,280,AWS CodeWhisperer,2024-01-16 04:00:00,123,19
366,278,Copilot,2024-01-16 05:00:00,12,19
367,619,Tableau AI,2024-01-16 06:00:00,172,13
368,659,Tableau AI,2024-01-16 07:00:00,172,17
369,371,Copilot,2024-01-16 08:00:00,131,17
370,670,Tableau AI,2024-01-16 09:00:00,55,13
371,936,Copilot,2024-01-16 10:00:00,160,11
372,78,ChatGPT,2024-01-16 11:00:00,59,14
373,365,AWS CodeWhisperer,2024-01-16 12:00:00,61,7
374,622,GitHub Copilot,2024-01-16 13:00:00,127,3
375,89,Copilot,2024-01-16 14:00:00,32,15
376,662,Tableau AI,2024-01-16 15:00:00,224,3
377,87,ChatGPT,2024-01-16 16:00:00,95,15
378,392,AWS CodeWhisperer,2024-01-16 17:00:00,198,4
379,814,GitHub Copilot,2024-01-16 18:00:00,149,5
380,723,Copilot,2024-01-16 19:00:00,72,17
381,710,Copilot,2024-01-16 20:00:00,150,6
382,612,GitHub Copilot,2024-01-16 21:00:00,24,12
383,363,GitHub Copilot,2024-01-16 22:00:00,186,5
384,18,Copilot,2024-01-16 23:00:00,214,8
385,956,ChatGPT,2024-01-17 00:00:00,74,17
386,731,Tableau AI,2024-01-17 01:00:00,20,14
387,526,Tableau AI,2024-01-17 02:00:00,61,8
388,782,ChatGPT,2024-01-17 03:00:00,80,4
389,512,AWS CodeWhisperer,2024-01-17 04:00:00,163,4
390,203,AWS CodeWhisperer,2024-01-17 05:00:00,48,2
391,814,GitHub Copilot,2024-01-17 06:00:00,21,12
392,365,GitHub Copilot,2024-01-17 07:00:00,94,2
393,678,GitHub Copilot,2024-01-17 08:00:00,44,5
394,494,GitHub Copilot,2024-01-17 09:00:00,88,14
395,365,AWS CodeWhisperer,2024-01-17 10:00:00,91,6
396,794,AWS CodeWhisperer,2024-01-17 11:00:00,15,5
397,424,GitHub Copilot,2024-01-17 12:00:00,55,8
398,510,Tableau AI,2024-01-17 13:00:00,183,11
399,493,Tableau AI,2024-01-17 14:00:00,67,2
400,667,GitHub Copilot,2024-01-17 15:00:00,218,8
401,35,ChatGPT,2024-01-17 16:00:00,151,5
402,898,GitHub Copilot,2024-01-17 17:00:00,41,10
403,325,AWS CodeWhisperer,2024-01-17 18:00:00,151,16
404,802,Tableau AI,2024-01-17 19:00:00,75,1
405,800,Tableau AI,2024-01-17 20:00:00,113,8
406,896,Tableau AI,2024-01-17 21:00:00,137,7
407,895,Copilot,2024-01-17 22:00:00,170,19
408,440,AWS CodeWhisperer,2024-01-17 23:00:00,80,3
409,536,Copilot,2024-01-18 00:00:00,30,16
410,32,Copilot,2024-01-18 01:00:00,116,18
411,248,GitHub Copilot,2024-01-18 02:00:00,13,9
412,423,GitHub Copilot,2024-01-18 03:00:00,70,15
413,114,Tableau AI,2024-01-18 04:00:00,63,6
414,344,AWS CodeWhisperer,2024-01-18 05:00:00,34,2
415,220,AWS CodeWhisperer,2024-01-18 06:00:00,106,19
416,808,Copilot,2024-01-18 07:00:00,107,4
417,968,GitHub Copilot,2024-01-18 08:00:00,12,11
418,928,ChatGPT,2024-01-18 09:00:00,97,9
419,476,AWS CodeWhisperer,2024-01-18 10:00:00,237,1
420,381,Tableau AI,2024-01-18 11:00:00,103,6
421,483,ChatGPT,2024-01-18 12:00:00,220,9
422,91,AWS CodeWhisperer,2024-01-18 13:00:00,111,14
423,435,ChatGPT,2024-01-18 14:00:00,146,1
424,466,Copilot,2024-01-18 15:00:00,104,2
425,316,Copilot,2024-01-18 16:00:00,119,2
426,94,AWS CodeWhisperer,2024-01-18 17:00:00,92,6
427,438,GitHub Copilot,2024-01-18 18:00:00,44,9
428,906,Copilot,2024-01-18 19:00:00,47,4
429,683,Tableau AI,2024-01-18 20:00:00,192,9
430,432,GitHub Copilot,2024-01-18 21:00:00,59,1
431,704,Copilot,2024-01-18 22:00:00,165,15
432,689,Tableau AI,2024-01-18 23:00:00,66,18
433,989,Tableau AI,2024-01-19 00:00:00,122,18
434,167,GitHub Copilot,2024-01-19 01:00:00,109,16
435,495,ChatGPT,2024-01-19 02:00:00,174,7
436,143,ChatGPT,2024-01-19 03:00:00,146,11
437,72,GitHub Copilot,2024-01-19 04:00:00,185,12
438,937,Tableau AI,2024-01-19 05:00:00,236,16
439,280,Copilot,2024-01-19 06:00:00,68,11
440,705,ChatGPT,2024-01-19 07:00:00,25,6
441,159,AWS CodeWhisperer,2024-01-19 08:00:00,82,16
442,409,ChatGPT,2024-01-19 09:00:00,48,1
443,671,ChatGPT,2024-01-19 10:00:00,34,12
444,124,GitHub Copilot,2024-01-19 11:00:00,67,17
445,434,Copilot,2024-01-19 12:00:00,236,10
446,623,Tableau AI,2024-01-19 13:00:00,169,16
447,231,Copilot,2024-01-19 14:00:00,164,8
448,775,Copilot,2024-01-19 15:00:00,190,4
449,381,Tableau AI,2024-01-19 16:00:00,219,9
450,814,Copilot,2024-01-19 17:00:00,203,6
451,199,AWS CodeWhisperer,2024-01-19 18:00:00,112,16
452,808,Tableau AI,2024-01-19 19:00:00,64,19
453,502,Tableau AI,2024-01-19 20:00:00,153,13
454,46,ChatGPT,2024-01-19 21:00:00,121,12
455,547,ChatGPT,2024-01-19 22:00:00,155,14
456,877,Copilot,2024-01-19 23:00:00,221,14
457,926,AWS CodeWhisperer,2024-01-20 00:00:00,51,18
458,99,GitHub Copilot,2024-01-20 01:00:00,142,6
459,227,Copilot,2024-01-20 02:00:00,150,1
460,145,Tableau AI,2024-01-20 03:00:00,33,1
461,532,Tableau AI,2024-01-20 04:00:00,61,19
462,698,Copilot,2024-01-20 05:00:00,101,8
463,968,ChatGPT,2024-01-20 06:00:00,45,12
464,319,GitHub Copilot,2024-01-20 07:00:00,237,3
465,442,AWS CodeWhisperer,2024-01-20 08:00:00,121,8
466,803,Tableau AI,2024-01-20 09:00:00,130,14
467,2,ChatGPT,2024-01-20 10:00:00,165,17
468,747,AWS CodeWhisperer,2024-01-20 11:00:00,108,12
469,589,AWS CodeWhisperer,2024-01-20 12:00:00,19,14
470,978,GitHub Copilot,2024-01-20 13:00:00,166,11
471,27,Copilot,2024-01-20 14:00:00,151,10
472,618,GitHub Copilot,2024-01-20 15:00:00,51,19
473,545,ChatGPT,2024-01-20 16:00:00,198,7
474,975,GitHub Copilot,2024-01-20 17:00:00,225,3
475,740,ChatGPT,2024-01-20 18:00:00,191,6
476,695,GitHub Copilot,2024-01-20 19:00:00,161,1
477,477,GitHub Copilot,2024-01-20 20:00:00,107,5
478,119,ChatGPT,2024-01-20 21:00:00,101,9
479,603,ChatGPT,2024-01-20 22:00:00,107,4
480,3,ChatGPT,2024-01-20 23:00:00,121,1
